id,item_id,quantity
0,coffee_bm,1
0,bananas,5
0,granola_bar_bm,1
0,spinach_bag_bm,1
0,salad_bag,1
0,tomato_cherry_bm,1
0,pizza,1
0,tortilla_espanola,1
0,pasta_sauce_jar,1
0,chorizo_sausage_bm,1
0,cheese_shredded,1
0,broccoli_frozen,1
0,carrots_baby,1
0,potato_chips,1
1,granola_bar_bm,1
1,chicken_breast,1
1,cheese_shredded,1
1,bananas,3
1,bell_pepper,1
1,avocado,2
1,grapes_red,1
1,tomato_cherry_bm,1
1,salad_bag_bm,1
1,apple,4
1,rice,1
1,yogurt_cup,8
2,bananas,10
2,zucchini,1
2,salad_bag,1
2,carrots_sliced,1
2,cheese_tapas,1
2,cheese_shredded,1
2,coffee_merc,1
2,soup_crema_verdura,1
2,chicken_wings,1
2,albondigas,1
2,chicken_drumsticks,2
3,baguette,1
3,carrots,1
3,tomato_cherry_bm,1
3,shishito,1
3,salad_dressing,1
3,olive_oil,1
4,pasta_sauce_jar,1
4,salad_bag,1
4,ravioli,1
4,pizza,1
5,bananas,8
5,tomatos_rama,1
5,cucumber,1
5,tortilla_espanola,1
5,ham_serrano,1
5,chicken_thigh,2
5,brussels_frozen,1
5,potato_chips,1
